x,y,z,instance_id,label,x_gt,y_gt,z_gt
-1281.4586892808848,-320.4262528103091,0.5602225888964032,0,mito,-1269.0901822967655,-317.93139680537087,6.613265632767082
-954.0081126755989,-544.6474595606614,128.17388663273334,0,mito,-955.282217707112,-556.5457018092808,137.2106767873358
-1670.8893584733219,-807.0464983080474,-27.397862551220722,0,mito,-1663.935293900483,-796.9386824166118,-10.936921842798267
823.592829586068,-1436.3802104304855,333.0953061483289,0,mito,835.7507728387457,-1425.1292835760346,319.22864982605495
-1265.0773639902877,-389.36863690056055,229.2940630635657,1,mito,-1279.922830535667,-369.38608616904935,234.94806340894434
971.6294210379597,-1405.2115358358967,232.1355456116491,0,mito,977.9447627191904,-1393.3689968349158,226.7087638053671
-1492.968743666568,-579.0555699083026,262.1016222762453,1,mito,-1508.3737040172318,-569.2829479718085,265.3127476202087
-1639.0207118996059,-842.3111026394905,-52.54548006074985,0,mito,-1641.8273855970044,-825.3734178145342,-36.02213521341058
-1923.8452951999834,-1362.3308256018536,-584.7962700947907,1,mito,-1930.5301513671875,-1372.6845703125,-604.311279296875
-1428.6341941537487,-406.20663089883095,256.4337452182222,1,mito,-1436.9354669816046,-417.0523348008396,261.589577899668
-1620.2634108082373,-671.9818171644378,112.91862867820589,1,mito,-1617.4753228647082,-660.5848978116557,105.58266181956006
-1566.707195242027,-1406.2093061318026,-316.78709959532273,0,mito,-1561.8118421183758,-1399.1613450862492,-327.99862227806017
-67.71076906948514,61.42314226962004,-134.38719817562153,1,mito,-85.00172976913088,75.08239344170404,-136.55113526846512
-1583.8451910059257,-1419.5987828378256,-218.63948196528497,0,mito,-1581.3339311715383,-1431.951050230706,-222.83582818321537
-1587.4705002153412,-1259.019823748878,-107.75703574968757,0,mito,-1604.7421771517847,-1262.0854124688362,-115.40375754297516
-575.2538504101319,-140.304275635132,137.2742813232208,1,mito,-556.8766073451378,-158.4015147651821,128.08573159417622
-1110.9240795894937,-404.1787617485125,257.8486147875737,1,mito,-1109.7395501989683,-422.161154660933,259.1932537727902
-1667.0474110510431,-946.8622838166237,-360.25603409392113,1,mito,-1654.4082851793648,-937.8965226086824,-367.44645066082455
-1664.770233868811,-890.6005300455691,-53.42129592884241,0,mito,-1648.757442660679,-877.3749173653864,-44.391889353888374
-1195.2758491374868,-332.69423383852404,1.7469681367442256,0,mito,-1213.5866766799354,-345.1585414995516,14.33703539970324
-247.68668114669336,-1252.1947723709243,264.7270331827726,0,mito,-258.10242275300266,-1257.1674873906381,271.30492217809643
-305.83477447257803,-1144.365335401473,255.63865356604637,0,mito,-298.675524335371,-1156.2859676867417,236.27465525008512
-1410.1408695981665,-322.8243920829221,2.6911066439991806,0,mito,-1416.5333831364987,-334.1453733645662,18.094663981206075
-521.1030372561755,-999.5609599853204,256.4293910627049,0,mito,-502.63701182400257,-1006.7691983338675,239.03319892039133
-236.50387146190155,-1169.6972359792096,281.88655741467045,0,mito,-253.82324137367266,-1166.6650311348933,299.80338056942674
-903.1907062510858,-639.5814542113044,187.28879083386045,0,mito,-922.3144820564,-638.0950091488033,186.57424776848734
-1709.4529247914938,-1106.3757514532124,-37.52605377976184,0,mito,-1702.6354547993803,-1104.0955221276681,-22.00092996307073
-344.1746900560069,-133.45392760487272,-26.859779160173318,1,mito,-346.66981804947056,-137.22111342797012,-22.754307191143923
-1662.2789154150457,-745.0797400182742,36.4845020719884,0,mito,-1652.8764992545612,-744.118017685601,28.170808688937825
-1420.4129121295016,-425.3187913668729,322.24364074147076,1,mito,-1423.6716448632196,-413.25371441427615,322.60049915640144
-1636.8038054187905,-1068.7064098804847,-62.1651298079019,0,mito,-1648.5398795222764,-1050.1195638625786,-78.86086817988468
-462.69745693607257,-1163.4100879393486,253.0100600938441,0,mito,-460.332122133152,-1144.0570162286554,268.20161781118105
-1708.202777752979,-1034.388186525444,-300.2771795667229,1,mito,-1689.4982505183734,-1022.8492802400461,-295.11274831388795
-974.0930390695254,-615.4556761364299,103.64303036633197,0,mito,-986.0415554774361,-610.5734497579286,87.21588692687047
-1334.3263648547704,-407.6241968371509,30.615986028909823,0,mito,-1353.089449599357,-394.7576296992329,48.038653543315974
-1660.9599674068043,-640.5879204916982,-19.76835422938499,1,mito,-1650.9833619890053,-652.0612885098568,-13.86973430408803
-1366.3452557964345,-412.29538526608394,69.7232485913853,0,mito,-1378.7471773213736,-400.4744984269037,64.30414430151087
-1659.4011648643964,-771.6781521669042,-108.124756378836,1,mito,-1675.515042888764,-776.8313256354575,-111.59706958677566
-1600.6114282003555,-899.5345488060843,-263.7804464238221,1,mito,-1602.4731358925826,-895.9553798653563,-281.0549141339031
-800.990789045574,-713.0752962404333,172.8937432066014,0,mito,-811.3293412065312,-722.9656551767922,162.02487329446893
-1350.633627563129,-483.2639024899805,315.2726384844386,1,mito,-1353.581379515411,-492.7848411314209,326.2081575637484
-1614.7474795228195,-919.3918988005908,-306.97235658650436,1,mito,-1605.8044888531026,-917.5723475266032,-287.03380991169223
-877.5274705754417,-212.76652565845868,106.70398905416663,1,mito,-858.0781237850388,-231.69062852608712,110.52567583950028
-1596.9721523156695,-544.8981251920104,264.10072554912296,1,mito,-1587.7282412198042,-556.3778721236208,271.96646126929767
-1627.3676239938177,-777.1769365927352,-43.272716892005214,0,mito,-1644.2590536364592,-778.5028302133936,-24.24935216876612
-1589.7307563340362,-812.373510190254,2.013824216684382,0,mito,-1576.1667896505273,-797.7622782240726,9.535102938832441
-1364.9842408035968,-441.19098076055036,222.20828572488858,1,mito,-1351.983460393858,-452.3686510239506,227.69595489277015
-1218.7964266033653,-323.4471947944231,79.0857142268301,0,mito,-1228.1941796223073,-306.5959553253705,67.7549678781957
-1644.1488602296115,-644.9368171732435,24.33043871862211,1,mito,-1649.262616133846,-633.2340556743511,37.17029161959714
-330.02624019515474,-1227.8898175377471,279.6172327641665,0,mito,-318.85459642665285,-1227.701952652689,278.06179957493816
-1200.7364949566502,-451.3374012613245,241.49039461139554,1,mito,-1191.6451446601225,-449.5468523546396,240.35896047053228
-790.8398509292628,-798.5673682490213,125.93732989168657,0,mito,-810.170295742839,-802.5384670402716,136.7281104119382
-1679.7990060823047,-1076.3328497030684,14.564832767979595,0,mito,-1677.9455521362843,-1090.939880977971,-2.0628711991929407
-885.2859917194743,-664.5705835166568,112.39548724719238,0,mito,-900.8096494076659,-678.4960523954567,107.00236774730396
1144.5767257734308,-1305.9088062323344,256.58184502988166,0,mito,1157.041233100333,-1325.3183246356955,244.50119947841222
-1608.5932365900217,-581.7282511811084,195.17345174364488,1,mito,-1620.3525473710163,-583.9503286064563,201.88717620278666
-1485.7162874670926,-502.40693866468615,342.7401976713786,1,mito,-1488.4524009332708,-518.3961193934914,336.3535598753913
-1278.030926221902,-338.18927868537395,-13.665358825642887,0,mito,-1263.8783000356168,-342.05298483835173,3.3936694820539515
887.3914793345721,-1358.891040963714,276.64943163459685,0,mito,897.3767354080315,-1351.552053363543,287.26268733147833
-1358.2035674351125,-326.6630463727167,66.56544755951477,0,mito,-1365.0084895946447,-319.8914406082601,71.9550989756591
-1409.1389459485188,-434.17997018259456,15.054094793886343,0,mito,-1403.5248686348125,-414.2522766717429,-3.5172796668485518
-10.776036463122587,-1315.0271556989326,237.51017559327263,0,mito,6.211943889932108,-1328.135573676637,253.78660475669454
-1705.654819727588,-1151.1080253022637,-80.21569593656754,0,mito,-1711.371022862014,-1153.241336674965,-76.64085134634162
-1169.6649415916193,-331.5297033731687,33.937031899596235,0,mito,-1161.8897001360442,-347.2616255256589,45.55410343699668
1526.674274440027,-1282.940162717068,216.15230390579944,0,mito,1533.8397216796875,-1283.43994140625,226.61195373535156
-1296.8880660209247,-461.2484481567275,297.4312001515916,1,mito,-1284.8965361708697,-474.13913485460745,311.3644804916021
-996.9854076730347,-616.5677704047932,133.467408364191,0,mito,-1000.9791351143825,-636.4097640741778,149.3066750889549
-469.2896097754261,-1122.5722595729294,263.0452130533432,0,mito,-470.5250209334595,-1138.4185975452813,263.05050339415584
-1033.0705560272263,-364.5888391274162,167.16768052846714,1,mito,-1053.0239576290319,-380.36042862585305,172.8912916321957
-1449.5668041990773,-492.3849055750299,243.0710421859915,1,mito,-1431.6478382907542,-506.4150752438316,241.40215875740617
-1463.4696628688491,-428.78836469690435,244.16511251990173,1,mito,-1456.4115620455789,-439.67393647337633,243.51844667951354
-1639.721862533645,-612.5731092595865,156.6392283590933,1,mito,-1628.8049360320347,-601.7945856722083,164.25586448870928
-1341.018663083662,-436.48459711744346,211.64426139820353,1,mito,-1359.8249793822806,-452.2429130427717,228.23026862736177
-1668.6728569305478,-859.027853362273,28.233755217682415,0,mito,-1667.7805079973002,-871.1639196196443,38.478073670190525
-983.5106120219432,-635.9593117270771,126.93618609220945,0,mito,-991.9714784256045,-650.4523561095323,144.6664225067829
-1676.347328729379,-1063.8993559364849,-364.5145677682225,1,mito,-1675.340870806253,-1076.4179038370269,-365.2192193098683
192.23252282578474,-1340.0413493291921,310.79544971549484,0,mito,183.2381876991898,-1320.1592764740963,329.3498481488268
